id;nombre;apellido;correo;empresa;fechaNacimiento;sueldo;genero
57;Pedro;Carmona;marco antonio.valencia@gmail.com;"Figueroa; Figueroa y Figueroa Asociados S.C.";1980-08-29;33.96;HOMBRE
58;Alfonso;Amador;patricia.nieto@hotmail.com;Marín y Marín S.C.;1980-08-30;30.03;HOMBRE
59;Dolores;Ortiz;daniel.cortés@yahoo.com;Quintero Quintero S.R.L;1980-08-31;7.55;HOMBRE
60;Santiago;Amador;salvador.carrasco@hotmail.com;"Mondragón; Mondragón y Mondragón Asociados S.A. de C.V.";1980-09-01;43.09;HOMBRE
61;Martha;Ruiz;socorro.yáñez@yahoo.com;Mondragón Mondragón S.A.B.;1980-09-02;27.81;HOMBRE
62;Elvira;Baltazar;carlos.de la rosa@prodigy.net.mx;"Zapata; Zapata y Zapata Asociados S.A.B.";1980-09-03;38.02;HOMBRE
63;Ignacio;Olivares;beatriz.anaya@gmail.com;Grupo Financiero Ruiz S.A.B.;1980-09-04;58.46;HOMBRE
64;Rosario;Aguilar;maría.lugo@prodigy.net.mx;Guevara Guevara S.R.L;1980-09-05;97.62;HOMBRE
65;Silvia;Barajas;julia.navarrete@prodigy.net.mx;Leyva y Leyva S.R.L;1980-09-06;96.68;HOMBRE
66;Edgar;Yáñez;fernando.villanueva@hotmail.com;Lozano Lozano S.C.;1980-09-07;17.06;HOMBRE
67;Gregorio;Escamilla;gerardo.alcántara@gmail.com;Carrillo Carrillo S.A. de C.V.;1980-09-08;11.5;HOMBRE
68;Esteban;Rojas;juan.torres@prodigy.net.mx;Grupo Financiero Hidalgo S.A.B.;1980-09-09;78.77;HOMBRE
69;Martina;Osorio;elizabeth.de la rosa@gmail.com;Orozco S.C.;1980-09-10;45.69;HOMBRE
70;Juan;Duarte;estela.armenta@hotmail.com;Leyva Leyva S.C.;1980-09-11;5.63;HOMBRE
71;Consuelo;Castro;rosalba.ponce@yahoo.com;"Navarrete; Navarrete y Navarrete Asociados S.R.L";1980-09-12;74.93;HOMBRE
72;Petra;Corona;rosa maría.rocha@yahoo.com;Nieto Nieto S.A.B.;1980-09-13;34.6;HOMBRE
73;Fabiola;Ayala;mercedes.quezada@gmail.com;Carrillo y Carrillo S.R.L;1980-09-14;65.54;HOMBRE
74;Rosa MarĂ­a;Barajas;mario alberto.de la torre@hotmail.com;Cortez y Cortez S.A.B.;1980-09-15;53.94;HOMBRE
75;Rodrigo;Reyna;raymundo.barron@gmail.com;Colegio Medina S.R.L;1980-09-16;66.94;HOMBRE
76;JosĂ© Antonio;Peralta;julia.herrera@gmail.com;"Montoya; Montoya y Montoya Asociados S.A.B.";1980-09-17;4.21;HOMBRE
77;Amalia;Romo;lidia.lozano@gmail.com;"Ramírez; Ramírez y Ramírez Asociados S.A. de C.V.";1980-09-18;34.64;HOMBRE
78;BenjamĂ­n;Ponce;fabiola.valle@hotmail.com;Fondo Aguilera S.A.B.;1980-09-19;78.39;HOMBRE
79;Antonio;de la Rosa;adela.sandoval@hotmail.com;"Valdés; Valdés y Valdés Asociados S.A.";1980-09-20;65.84;HOMBRE
80;Edith;Soriano;esther.carrillo@yahoo.com;Arroyo y Arroyo S.A.B.;1980-09-21;53.06;HOMBRE
81;JosĂ© Antonio;Magaña;lidia.méndez@gmail.com;Alonso S.C.;1980-09-22;75.38;HOMBRE
82;Alicia;Esquivel;gloria.carrillo@gmail.com;Acosta S.A. de C.V.;1980-09-23;4.09;HOMBRE
83;TomĂˇs;Aguilar;gerardo.molina@yahoo.com;Venegas S.A. de C.V.;1980-09-24;72.2;HOMBRE
84;VĂ­ctor Hugo;Ávila;leticia.bautista@prodigy.net.mx;"Cortez; Cortez y Cortez Asociados S.A. de C.V.";1980-09-25;79.76;HOMBRE
85;Carlos Alberto;Lugo;patricia.ventura@yahoo.com;Peralta S.A. de C.V.;1980-09-26;64.67;HOMBRE
86;Ramiro;Villalobos;eduardo.rojas@gmail.com;Sociedad Velasco S.A.B.;1980-09-27;26.36;HOMBRE
87;Adriana;Ortega;salvador.romero@gmail.com;Grupo Villalobos S.A.B.;1980-09-28;19.44;HOMBRE
88;Gustavo;Rocha;rosa maría.guillén@gmail.com;Ramírez Ramírez S.A.;1980-09-29;49.4;HOMBRE
89;Yolanda;Camacho;verónica.córdova@yahoo.com;Varela Varela S.C.;1980-09-30;87.67;HOMBRE
90;Miguel;Hurtado;esteban.vidal@hotmail.com;Robles S.R.L;1980-10-01;93.28;HOMBRE
91;Gerardo;Cabrera;claudia.arriaga@yahoo.com;Santos y Santos S.A. de C.V.;1980-10-02;53.15;HOMBRE
92;Marcos;Pacheco;ismael.contreras@gmail.com;Carmona S.C.;1980-10-03;87.28;HOMBRE
93;Sergio;Madrigal;felipe.moreno@yahoo.com;"Escamilla; Escamilla y Escamilla Asociados S.A. de C.V.";1980-10-04;28.02;HOMBRE
94;Armando;Ojeda;aurora.de los santos@yahoo.com;Colegio Castellanos S.A.;1980-10-05;22.34;HOMBRE
95;Rogelio;Esquivel;jorge luis.cisneros@gmail.com;"Gallegos; Gallegos y Gallegos Asociados S.A. de C.V.";1980-10-06;49.44;HOMBRE
96;Salvador;Esparza;virginia.bravo@prodigy.net.mx;Saldaña y Saldaña S.A. de C.V.;1980-10-07;35.81;HOMBRE
97;TomĂˇs;Guzmán;miguel.márquez@prodigy.net.mx;Grupo Pineda S.R.L;1980-10-08;7.98;HOMBRE
98;Maricela;Gutiérrez;sonia.fuentes@hotmail.com;"Sotelo; Sotelo y Sotelo Asociados S.A. de C.V.";1980-10-09;16.68;HOMBRE
99;Patricia;Gaytán;lorenzo.cordero@yahoo.com;Herrera Herrera S.A. de C.V.;1980-10-10;57.6;HOMBRE
100;Magdalena;Hidalgo;beatriz.medrano@yahoo.com;Grupo Financiero Gutiérrez S.A.B.;1980-10-11;37.63;HOMBRE
101;Araceli;Torres;enrique.durán@gmail.com;Colegio Mondragón S.R.L;1980-10-12;27.42;HOMBRE
102;BenjamĂ­n;Maldonado;alfredo.quintero@hotmail.com;"Rendón; Rendón y Rendón Asociados S.A. de C.V.";1980-10-13;38.77;HOMBRE
103;Gerardo;Madrigal;santiago.garcía@gmail.com;Aguilera y Aguilera S.A.;1980-10-14;33.64;HOMBRE
104;Carlos Alberto;May;francisco.ocampo@yahoo.com;Santiago y Santiago S.C.;1980-10-15;58.11;HOMBRE
105;RamĂłn;Cázares;josé juan.gonzález@prodigy.net.mx;"Ocampo; Ocampo y Ocampo Asociados S.R.L";1980-10-16;1.89;HOMBRE
106;MartĂ­n;Ocampo;josé juan.moreno@gmail.com;Trejo y Trejo S.A.B.;1980-10-17;33.03;HOMBRE
107;Victoria;Ortiz;daniel.báez@gmail.com;Núñez y Núñez S.A.;1980-10-18;77.62;HOMBRE
108;FĂ©lix;Aguilera;josé angel.zapata@prodigy.net.mx;Escobedo S.A.;1980-10-19;1.71;HOMBRE
109;Gloria;Padilla;martín.valdez@gmail.com;"Bravo; Bravo y Bravo Asociados S.A. de C.V.";1980-10-20;67.01;HOMBRE
110;VĂ­ctor Hugo;Solís;antonia.bravo@prodigy.net.mx;Osorio y Osorio S.C.;1980-10-21;62.36;HOMBRE
111;Juan;Estrada;carlos.cuevas@hotmail.com;Alfaro y Alfaro S.A.;1980-10-22;0.04;HOMBRE
112;MarĂ­a Elena;Amador;felipe.caballero@prodigy.net.mx;Sociedad Treviño S.A. de C.V.;1980-10-23;8.43;HOMBRE
113;Rafael;Arteaga;josefina.leal@yahoo.com;Saucedo S.R.L;1980-10-24;98.78;HOMBRE
114;Jorge Alberto;Aranda;rocío.martínez@gmail.com;Suárez S.A.;1980-10-25;38.58;HOMBRE
115;JosĂ© Antonio;Hurtado;gustavo.juárez@yahoo.com;Domínguez Domínguez S.A. de C.V.;1980-10-26;20.29;HOMBRE
116;Rogelio;Velázquez;josefina.rivas@yahoo.com;"Esquivel; Esquivel y Esquivel Asociados S.R.L";1980-10-27;38.83;HOMBRE
117;Edith;Miranda;rodolfo.marín@prodigy.net.mx;Cuevas Cuevas S.A.;1980-10-28;97.65;HOMBRE
118;Juan Antonio;Rivas;paula.castillo@yahoo.com;Palma S.A.;1980-10-29;81.63;HOMBRE
119;Rosa;Ochoa;miriam.moreno@prodigy.net.mx;Muñiz y Muñiz S.A.;1980-10-30;43.7;HOMBRE
120;Rodrigo;de León;alberto.cortés@yahoo.com;"Rivera; Rivera y Rivera Asociados S.A. de C.V.";1980-10-31;69.09;HOMBRE
121;Gregorio;Escamilla;lorenzo.castillo@yahoo.com;Ríos y Ríos S.A.;1980-11-01;97.95;HOMBRE
122;Lorena;Leyva;ignacio.corona@gmail.com;Rojas y Rojas S.A.;1980-11-02;38.25;HOMBRE
123;Ernesto;Ramos;amalia.rico@prodigy.net.mx;Anaya Anaya S.R.L;1980-11-03;72.71;HOMBRE
124;Salvador;Villalobos;rodolfo.soto@prodigy.net.mx;Rivas Rivas S.A.;1980-11-04;21.41;HOMBRE
125;Rosa;Covarrubias;lorenzo.hurtado@yahoo.com;Fondo Alvarado S.A.;1980-11-05;93.65;HOMBRE
126;Rosalba;Trejo;victoria.treviño@gmail.com;Fondo Trujillo S.C.;1980-11-06;27.45;HOMBRE
127;Mariana;Sosa;jesús.balderas@hotmail.com;Nava S.C.;1980-11-07;82.55;HOMBRE
128;Alfredo;Meza;josé juan.acosta@gmail.com;Arias y Arias S.A. de C.V.;1980-11-08;48.94;HOMBRE
129;Guadalupe;Díaz;andrés.saldaña@hotmail.com;Téllez y Téllez S.A. de C.V.;1980-11-09;16.45;HOMBRE
130;Petra;Sandoval;joel.rico@yahoo.com;"de León; de León y de León Asociados S.R.L";1980-11-10;56.78;HOMBRE
131;JosĂ© Antonio;Rodríguez;israel.correa@yahoo.com;"Reséndiz; Reséndiz y Reséndiz Asociados S.A. de C.V.";1980-11-11;31.91;HOMBRE
132;Edgar;Cisneros;beatriz.de la torre@hotmail.com;Segura Segura S.C.;1980-11-12;79.63;HOMBRE
133;Carmen;Dávila;isabel.alarcón@yahoo.com;"Díaz; Díaz y Díaz Asociados S.A. de C.V.";1980-11-13;62.89;HOMBRE
134;MarĂ­a de Lourdes;Saucedo;carmen.ochoa@hotmail.com;Montoya y Montoya S.A. de C.V.;1980-11-14;71.57;HOMBRE
135;Ramiro;Jímenez;teresa.bravo@gmail.com;"Contreras; Contreras y Contreras Asociados S.A. de C.V.";1980-11-15;85.35;HOMBRE
136;Gerardo;García;mónica.nieto@prodigy.net.mx;Corona S.R.L;1980-11-16;98.62;HOMBRE
137;Gerardo;Galván;adela.león@gmail.com;Martínez S.A.B.;1980-11-17;43.26;HOMBRE
138;Lorenzo;Rosas;david.de león@hotmail.com;Valadez y Valadez S.A. de C.V.;1980-11-18;57.17;HOMBRE
139;Rodolfo;León;ofelia.bernal@hotmail.com;"Cuevas; Cuevas y Cuevas Asociados S.C.";1980-11-19;95.41;HOMBRE
140;ConcepciĂłn;Granados;josé angel.guevara@hotmail.com;Ángeles Ángeles S.A. de C.V.;1980-11-20;15.05;HOMBRE
141;JosĂ© Luis;Medina;agustina.palma@prodigy.net.mx;"Solís; Solís y Solís Asociados S.R.L";1980-11-21;17.34;HOMBRE
142;Luis Alberto;Sosa;laura.medrano@prodigy.net.mx;Mejía S.R.L;1980-11-22;13.31;HOMBRE
143;SaĂşl;Enríquez;margarita.villa@yahoo.com;Fondo Domínguez S.A.;1980-11-23;30.01;HOMBRE
144;RocĂ­o;León;david.arias@prodigy.net.mx;Mora y Mora S.A. de C.V.;1980-11-24;15.93;HOMBRE
145;Graciela;Valencia;carolina.alvarado@gmail.com;Ángeles S.A.B.;1980-11-25;89.05;HOMBRE
146;Miguel;García;raquel.magaña@prodigy.net.mx;Villarreal S.A. de C.V.;1980-11-26;59.36;HOMBRE
147;CĂ©sar;Vargas;abel.becerra@gmail.com;Sociedad Castillo S.A. de C.V.;1980-11-27;33.1;HOMBRE
148;Abel;Jímenez;jorge.quezada@gmail.com;Sandoval y Sandoval S.R.L;1980-11-28;56.85;HOMBRE
149;JosĂ© Luis;Enríquez;amalia.trujillo@gmail.com;"Calderón; Calderón y Calderón Asociados S.R.L";1980-11-29;55.75;HOMBRE
150;Esperanza;Trejo;rigoberto.de la cruz@gmail.com;Herrera Herrera S.A. de C.V.;1980-11-30;9.35;HOMBRE
151;CĂ©sar;Meza;marisol.cervantes@yahoo.com;Villarreal y Villarreal S.A. de C.V.;1980-12-01;75.46;HOMBRE
152;Elizabeth;Alvarado;gabriel.barrios@hotmail.com;Juárez Juárez S.C.;1980-12-02;77.69;HOMBRE
153;Pablo;Ortiz;yolanda.acosta@yahoo.com;Espinosa Espinosa S.A.;1980-12-03;46.13;HOMBRE
154;JosĂ© Alfredo;Zavala;alfredo.fernández@prodigy.net.mx;Ibarra y Ibarra S.C.;1980-12-04;76.28;HOMBRE
155;JosĂ© Angel;Medrano;adrián.ibarra@prodigy.net.mx;Serrano Serrano S.A.B.;1980-12-05;86.14;HOMBRE
156;Guadalupe;Acevedo;margarita.hidalgo@prodigy.net.mx;Grupo Cárdenas S.A. de C.V.;1980-12-06;59.64;HOMBRE
157;Israel;Escalante;gilberto.arreola@hotmail.com;Medina y Medina S.C.;1980-12-07;35.67;HOMBRE
158;Beatriz;Correa;ángel.cano@prodigy.net.mx;Grupo Financiero Santillán S.C.;1980-12-08;26.94;HOMBRE
159;VerĂłnica;Medina;mario.rubio@gmail.com;Fernández S.A. de C.V.;1980-12-09;55.26;HOMBRE
160;Pablo;Marín;concepción.rico@hotmail.com;Gil S.A. de C.V.;1980-12-10;59.49;HOMBRE
161;Margarita;Tovar;rosa.mondragón@gmail.com;Grupo Financiero Reyna S.A.;1980-12-11;97.99;HOMBRE
162;Aurora;Aguirre;esther.escalante@gmail.com;Zamora y Zamora S.A.B.;1980-12-12;10.3;HOMBRE
163;Ignacio;Jaramillo;juan.lugo@gmail.com;Fondo Román S.R.L;1980-12-13;63.63;HOMBRE
164;Petra;Segura;isabel.salas@prodigy.net.mx;Olivares S.R.L;1980-12-14;66.68;HOMBRE
165;Mercedes;Olivares;eduardo.delgado@gmail.com;Caballero y Caballero S.C.;1980-12-15;36.64;HOMBRE
166;Andrea;Solís;leticia.sánchez@prodigy.net.mx;Trejo Trejo S.C.;1980-12-16;25.34;HOMBRE
167;Ăngel;Guzmán;sonia.leal@prodigy.net.mx;Fondo Granados S.R.L;1980-12-17;26.22;HOMBRE
168;Andrea;Tapia;margarita.sotelo@gmail.com;Grupo Financiero Carrillo S.A.;1980-12-18;29.48;HOMBRE
169;Guillermina;Molina;jorge luis.quiroz@prodigy.net.mx;Barragán S.A.B.;1980-12-19;42.84;HOMBRE
170;Ignacio;Domínguez;óscar.antonio@yahoo.com;Estrada Estrada S.C.;1980-12-20;77.32;HOMBRE
171;JosĂ© Angel;Velasco;elvira.ángeles@hotmail.com;Lugo y Lugo S.A. de C.V.;1980-12-21;32.65;HOMBRE
172;AndrĂ©s;Vásquez;maría.arias@gmail.com;"Salinas; Salinas y Salinas Asociados S.A. de C.V.";1980-12-22;87.2;HOMBRE
173;RamĂłn;Maldonado;miguel ángel.zapata@yahoo.com;"del Ángel; del Ángel y del Ángel Asociados S.C.";1980-12-23;41.49;HOMBRE
174;Jorge Luis;de la Torre;luis alberto.armenta@hotmail.com;Grupo Financiero Morales S.C.;1980-12-24;95.72;HOMBRE
175;Leticia;Arredondo;aurora.rubio@hotmail.com;"Medrano; Medrano y Medrano Asociados S.A. de C.V.";1980-12-25;30.14;HOMBRE
176;Juan Carlos;Carranza;agustín.padilla@gmail.com;"Durán; Durán y Durán Asociados S.A.B.";1980-12-26;27.77;HOMBRE
177;Mario Alberto;Duarte;óscar.trejo@yahoo.com;Colegio Enríquez S.R.L;1980-12-27;20.72;HOMBRE
178;JosĂ© Juan;Velázquez;rosa maría.antonio@yahoo.com;Camacho y Camacho S.C.;1980-12-28;51.22;HOMBRE
179;Ismael;Yáñez;sandra.antonio@prodigy.net.mx;Rosales S.R.L;1980-12-29;22.54;HOMBRE
180;Arturo;Félix;josé angel.carrera@hotmail.com;"Barrios; Barrios y Barrios Asociados S.C.";1980-12-30;61.8;HOMBRE
181;Erika;Barajas;catalina.pacheco@hotmail.com;Salgado Salgado S.C.;1980-12-31;87.8;HOMBRE
182;Juan Antonio;Tovar;carolina.morales@yahoo.com;de la Rosa y de la Rosa S.R.L;1981-01-01;14.63;HOMBRE
183;Teresa;Alvarado;antonia.vega@gmail.com;Villalobos y Villalobos S.A. de C.V.;1981-01-02;51.93;HOMBRE
184;SofĂ­a;Gómez;alejandra.olvera@hotmail.com;Tovar S.A. de C.V.;1981-01-03;67.53;HOMBRE
185;Mercedes;Márquez;moisés.valadez@prodigy.net.mx;May May S.A.B.;1981-01-04;58.52;HOMBRE
186;Joel;Chávez;salvador.lópez@yahoo.com;"Figueroa; Figueroa y Figueroa Asociados S.A.B.";1981-01-05;46.3;HOMBRE
187;Claudia;Pineda;jesús.tovar@prodigy.net.mx;Grupo Valdés S.A. de C.V.;1981-01-06;88.94;HOMBRE
188;Raymundo;Aguilera;guillermo.bernal@gmail.com;Rocha S.A.B.;1981-01-07;14.69;HOMBRE
189;Silvia;Chávez;alejandra.barrera@gmail.com;Méndez Méndez S.A.;1981-01-08;66.33;HOMBRE
190;Estela;Ruiz;petra.santos@hotmail.com;Macías Macías S.C.;1981-01-09;90.95;HOMBRE
191;TomĂˇs;Blanco;omar.salinas@yahoo.com;Guerrero S.C.;1981-01-10;82.3;HOMBRE
192;Edgar;Enríquez;micaela.pacheco@gmail.com;"Gallardo; Gallardo y Gallardo Asociados S.R.L";1981-01-11;19.29;HOMBRE
193;LucĂ­a;Valencia;karina.vega@hotmail.com;Colegio Morales S.C.;1981-01-12;72.37;HOMBRE
194;BenjamĂ­n;Ruiz;elizabeth.rosas@gmail.com;Escamilla Escamilla S.R.L;1981-01-13;80.08;HOMBRE
195;Celia;Arellano;ángela.villalobos@gmail.com;Núñez Núñez S.A.;1981-01-14;8.43;HOMBRE
196;CĂ©sar;Segura;juan carlos.balderas@gmail.com;"Guevara; Guevara y Guevara Asociados S.A. de C.V.";1981-01-15;16.59;HOMBRE
197;Gabriel;Ocampo;josé antonio.navarro@gmail.com;Castellanos Castellanos S.A.B.;1981-01-16;68.58;HOMBRE
198;MarĂ­a Luisa;Valencia;marco antonio.aguirre@prodigy.net.mx;"Varela; Varela y Varela Asociados S.A.B.";1981-01-17;11.56;HOMBRE
199;Petra;Rico;marina.arreola@prodigy.net.mx;Grupo Santos S.R.L;1981-01-18;18.26;HOMBRE
200;Cristina;Vega;marina.santillán@prodigy.net.mx;Rodríguez S.A.B.;1981-01-19;64.65;HOMBRE
201;Gerardo;Parra;julia.lira@hotmail.com;Colegio Camacho S.A. de C.V.;1981-01-20;91.95;HOMBRE
202;AngĂ©lica;Soto;sandra.mata@hotmail.com;"Núñez; Núñez y Núñez Asociados S.R.L";1981-01-21;84.38;HOMBRE
203;Esther;Dávila;gilberto.rangel@gmail.com;"Herrera; Herrera y Herrera Asociados S.A.B.";1981-01-22;99.37;HOMBRE
204;Angelina;Francisco;luis.mercado@hotmail.com;León S.A.B.;1981-01-23;7.15;HOMBRE
205;Marina;Parra;carmen.salas@hotmail.com;Santana Santana S.A.B.;1981-01-24;10.16;HOMBRE
206;Ignacio;Zavala;yolanda.arroyo@prodigy.net.mx;Dávila S.A. de C.V.;1981-01-25;15.78;HOMBRE
207;NicolĂˇs;Áviles;raquel.sierra@prodigy.net.mx;Torres S.A.B.;1981-01-26;59.53;HOMBRE
208;Alejandra;Salas;karina.castañeda@yahoo.com;Sosa Sosa S.A.B.;1981-01-27;30.88;HOMBRE
209;Ofelia;Huerta;salvador.olvera@prodigy.net.mx;Sociedad Salas S.A. de C.V.;1981-01-28;96.08;HOMBRE
210;Silvia;Aparicio;rosa.córdova@hotmail.com;Molina Molina S.A.B.;1981-01-29;56.84;HOMBRE
211;Teresa;Miranda;jorge.córdova@yahoo.com;Santana y Santana S.A.B.;1981-01-30;89.77;HOMBRE
212;Antonia;Salas;antonia.valadez@yahoo.com;Molina y Molina S.R.L;1981-01-31;50.68;HOMBRE
213;Gerardo;Medina;liliana.guillén@hotmail.com;Grupo Parra S.A.B.;1981-02-01;82.17;HOMBRE
214;MarĂ­a Luisa;Montes;patricia.solís@hotmail.com;Sociedad Carranza S.A.B.;1981-02-02;53.58;HOMBRE
